EVTDESCIB.1;By having many members of [This.GetOnlyDynastyName] dynasty become the Pope we have proved the christendom piety of our dynasty. Members of our dynasty will be favored when choosing a new pope and our dynasty members are more likely to become canonized.;;;;;;;;;;;;;x
EVTOPT_a_IB.1;A very prestigious event;;;;;;;;;;;;;x
EVTDESCIB.21;Rather than wasting lives and wealth after dreams of new conquest, [Root.GetTitledFirstName] has dedicated [Root.GetHerHis] wealth to the improvement of [Root.GetHerHis] own realm, constructing many great works during the course of [Root.GetHerHis] reign, improving the prestige of [Root.GetHerHis] realm.\nWhile some would consider it wasteful, those great works  no doubt raised the standing of [Root.GetHerHis] realm among all others.\nVassals of [Root.GetTitledFirstName] will forever remember [Root.GetTitledFirstName]'s efforts to rise the realm. ;;;;;;;;;;;;;x
EVTDESCIB.22;Rather than wasting lives and wealth after dreams of new conquest, [Root.GetTitledFirstName] has dedicated [Root.GetHerHis] wealth to the improvement of [Root.GetHerHis] own realm and [Root.GetHerHis] religion, constructing many great works during the course of [Root.GetHerHis] reign, improving the prestige of [Root.GetHerHis] realm and faith of [Root.GetHerHis] subjects.\nThanks to [Root.GetHerHis] contribution for building great temples [Root.Religion.GetName] becomes stronger in the hearths of [Root.GetHerHis] subjects.\nVassals and clergy will forever remember [Root.GetTitledFirstName]'s efforts. ;;;;;;;;;;;;;x
EVTOPT_a_IB.2;Wonderful news;;;;;;;;;;;;;x
bloodline_effect_saint_ib;Characters tend to become §GZealous§! and are more likely to get §Gcanonized§;;;;;;;;;;;;;x
IB_same_dynasty_religion;Character belongs to same dynasty as founder and follows the same religion as founder;;;;;;;;;;;;;x
bloodline_effect_reformist_ib;Characters tend to become §GZealous§!;;;;;;;;;;;;;x
EVTDESCIB.30;[Root.GetTitledFirstName] has dedicated [Root.GetHerHis] life to strengthening [Root.Religion.GetName] faith.\nBy putting the scriptures of religion together and reinterpreting some of the old texts [Root.GetSheHe] managed to reform [Root.Religion.GetName] faith and make it a religion that will stand the test of time.;;;;;;;;;;;;;x
EVTDESCIB.5;After genarations of inbreeding to consolidate power of [This.GetOnlyDynastyName] dynasty, members of our dynasty started showing spesific lip deformaties.\nLet's hope this was worth it.;;;;;;;;;;;;;x
EVTOPT_a_IB.5;Keeping it in the family;;;;;;;;;;;;;x
EVTOPT_b_IB.5;A game the whole family can play;;;;;;;;;;;;;x
bloodline_effect_family;Characters tend to have §KHarelip§!;;;;;;;;;;;;;x
IB_same_dynasty_bloodline;Character belongs to the same dynasty as founder;;;;;;;;;;;;;x
IB_papal_bloodline;Popely Blood of [This.GetOnlyDynastyName];;;;;;;;;;;;;x
IB_papal_bloodline_desc;[This.GetOnlyDynastyName] Dynasty had many of their members elected Pope.They are recognized as a pious family among nobility and have a great influence in [Root.Religion.GetName] Church.;;;;;;;;;;;;;x
IB_papal_bloodline2;Popely Blood of [This.GetOnlyDynastyName];;;;;;;;;;;;;x
IB_papal_bloodline2_desc;[This.GetOnlyDynastyName] Dynasty had many of their members elected Pope.They are recognized as a pious family among nobility and have a great influence in [Root.Religion.GetName] Church.;;;;;;;;;;;;;x
IB_papal_bloodline3;Popely Blood of [This.GetOnlyDynastyName];;;;;;;;;;;;;x
IB_papal_bloodline4_desc;[This.GetOnlyDynastyName] Dynasty had many of their members elected Pope.They are recognized as a pious family among nobility and have a great influence in [Root.Religion.GetName] Church.;;;;;;;;;;;;;x
IB_papal_bloodline4;Popely Blood of [This.GetOnlyDynastyName];;;;;;;;;;;;;x
IB_papal_bloodline4_desc;[This.GetOnlyDynastyName] Dynasty had many of their members elected Pope.They are recognized as a pious family among nobility and have a great influence in [Root.Religion.GetName] Church.;;;;;;;;;;;;;x
IB_papal_bloodline5;Popely Blood of [This.GetOnlyDynastyName];;;;;;;;;;;;;x
IB_papal_bloodline5_desc;[This.GetOnlyDynastyName] Dynasty had many of their members elected Pope.They are recognized as a pious family among nobility and have a great influence in [Root.Religion.GetName] Church.;;;;;;;;;;;;;x
IB_wonderly_bloodline;Wonderful Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_wonderly_bloodline_desc;Using his vast wealth [Root.GetTitledFirstName] build great wonders among [Root.GetHerHis] realm.The beauty and extravagance of them inspire both nobility and commoners of [Root.PrimaryTitle.GetName].;;;;;;;;;;;;;x
IB_wonderly_bloodline_h;Wonderful Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_wonderly_bloodline_h_desc;[Root.GetTitledFirstName] used [Root.GetHerHis] wealth to build great wonders and religious buildings in [Root.GetHerHis] realm.The beauty and majesty of them inspire subjects of [Root.GetTitledFirstName] and show power of [Root.Religion.GetName].;;;;;;;;;;;;;x
IB_reformist_bloodline;Reformist Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_reformist_bloodline_desc;[This.GetFirstNameWithNick] reformed [Root.Religion.GetName] faith into an organized religion to make a belief system that can stand upto and surpass other organized religions.;;;;;;;;;;;;;x
IB_virginmary_bloodline;Virgin Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_virginmary_bloodline_desc;[This.Mother.GetFirstNameWithNick], mother of [This.GetFirstNameWithNick], claimes she got pregnant while still a virgin like The Virgin Mary.;;;;;;;;;;;;;x
IB_family_bloodline;Family Blood of [This.GetOnlyDynastyName];;;;;;;;;;;;;x
IB_family_bloodline_desc;[This.GetOnlyDynastyName] Dynasty is famous for marrying within family to keep their lands united and inbred children born from those marriages.;;;;;;;;;;;;;x
IB_tyrantly_bloodline;Tyrant Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_tyrantly_bloodline_desc;Tales of [Root.GetTitledFirstName]'s tyranny are told from Ireland to Cathay.;;;;;;;;;;;;;x
IB_china_bloodline;Emperor Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_china_bloodline_desc;After a great war with many casualties [This.GetOnlyDynastyName] Dynasty managed to install a member of their dynasty on the dragon throne of China Empire;;;;;;;;;;;;;x
IB_hunter_bloodline;White Hunter Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_hunter_bloodline_desc;[This.GetFirstNameWithNick] is a great hunter who managed to hunt and kill the legendary white animal.;;;;;;;;;;;;;x
IB_hunterm_bloodline;Merciful Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_hunterm_bloodline_desc;[This.GetFirstNameWithNick] is a great hunter who managed to find the legendary white animal but decided to spare its life.;;;;;;;;;;;;;x
IB_prolificu_bloodline;Vassilyev Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_prolificu_bloodline_desc;[This.GetFirstNameWithNick] is one of the most fertile woman middle ages ever saw. Although many admired her fertility, many including the church frowned upon her illicit releationships.;;;;;;;;;;;;;x
IB_prolific_bloodline;Vassilyev Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_prolific_bloodline_desc;This.GetFirstNameWithNick] is one of the most fertile woman middle ages ever saw. Everyone admires her fertility.;;;;;;;;;;;;;x
IB_casanova_bloodline;Casanova Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_casanova_bloodline_desc;[This.GetFirstNameWithNick] fathered many children all over the realm and earned the ire of many husband and father.;;;;;;;;;;;;;x
IB_godslayer_bloodline;Great Old Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
