#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### base
String_Aztec;Aztec;aztèque;Azteke;;Nahuatla;;;;;;;;;x
String_Nahuatl;Nahuatl;nahuatl;Nahuatl;;náhuatl;;;;;;;;;x
CHRONICLE_AZTEC_INVASION;A terrible scourge was unleashed upon [FromFromFrom.Holder.PrimaryTitle.GetName] as the hordes of the Nahuatl Emperor arrived from beyond the sea to wreak havoc and destruction.;Un vent de terreur souffle sur [FromFromFrom.Holder.PrimaryTitle.Get_le_Realm], tandis que les hordes de l'Empereur nahuatl arrivent de par les mers, apportant avec eux dévastation et destruction.;Eine schreckliche Plage brach über [FromFromFrom.Holder.PrimaryTitle.GetName] herein, als die Horden des Nahuatlenkaisers von jenseits des Meeres einfielen und Schrecken und Verwüstung verbreiteten.;;Un terrible azote se ha desatado sobre [FromFromFrom.Holder.PrimaryTitle.GetName] cuando las hordas del Emperador Náhuatl llegaron de mar adentro para provocar caos y destrucción.;;;;;;;;;x
### RedKing
DLC_dlc018_TOOLTIP_DELAYED;- A new invading threat from the west \n- New Nahuatl culture and religion \n\nAdditional Features: \n- Unique new portraits and units for the great Mesoamerican Menace \n- New on-map shields \n- A new terrible disease brought by the invaders;- Une nouvelle menace d'invasion venant de l'ouest \n- Nouvelle culture et religion nahuatls \n\nCaractéristiques additionnelles : \n- Nouveaux portraits et unités uniques pour la grande menace mésoaméricaine \n- Nouveaux blasons \n- Une nouvelle terrible malade apportée par les envahisseurs;- Eine neue einfallende Bedrohung aus dem Westen\n- Neue nahuatlische Kultur und Religion\n\nZusätzliche Inhalte:\n- Einzigartige neue Porträts und Einheiten für die meso-amerikanische Plage\n- Neue Wappenschilder\n- Eine neue schreckliche Krankheit, die von den Eindringlingen gebracht wird;;- Una gran amenaza invasora del Oeste \n- Nueva cultura y religión náhuatl \n\nAdemás: \n- Nuevos retratos y unidades únicas para la gran amenaza mesoamericana \n- Nuevos escudos en el mapa \n- Una terrorífica enfermedad traída por los invasores;;;;;;;;;x
DLC_dlc034_RECOMMENDATION_NON_CHRISTIAN;The §Y$DLC_NAME$§! contains exclusive unit models for non-Christian religions such as Islam, Norse, Zoroastrians, and Nahuatls. Watch as these warriors of their faith march as unique-looking armies on the map.\n;Le DLC §Y$DLC_NAME$§! contient des modèles d'unités exclusifs pour les religions non chrétiennes telles que l'islam, les norrois, les zoroastriens et les nahuatls. Regardez comme ces guerriers de la foi marchant au pas ont l'air uniques sur la carte. \n;Der DLC §Y$DLC_NAME$§! enthält einzigartige Einheitenmodelle für nicht-christliche Religionen, wie islamisch, nordisch, zoroastranisch und nahuatlisch. Beobachtet diese Glaubenskrieger dabei, wie sie als einzigartig aussehende Armee auf der Karte marschieren.\n;;El §Y$DLC_NAME$§! contiene modelos de unidades únicas para religiones no cristianas como como el islam, nórdica, zoroástrica y náhuatl. Observa a estos guerreros de sus fes marchar por el mapa como ejércitos únicos.\n;;;;;;;;;x
LANDING_DLC018_TEXT;Main Features: \n- A new invading threat from the west \n- New Nahuatl culture and religion \n\nAdditional Features: \n- Unique new portraits and units for the great Mesoamerican Menace \n- New on-map shields \n- A new terrible disease brought by the invaders;Principales caractéristiques : \n- Une nouvelle menace d'invasion venant de l'ouest \n- Nouvelle culture et religion nahuatls \n\nCaractéristiques additionnelles : \n- Nouveaux portraits et unités uniques pour la grande menace mésoaméricaine \n- Nouveaux blasons \n- Une nouvelle terrible malade apportée par les envahisseurs;Hauptinhalt:  \n- Eine neue einfallende Bedrohung aus dem Westen \n- Neue nahuatlische Kultur und Religion \n\nZusätzliche Inhalte: \n- Einzigartige neue Porträts und Einheiten für die meso-amerikanische Plage \n- Neue Wappenschilder \n- Eine neue schreckliche Krankheit, die von den Eindringlingen gebracht wird;;Presenta: \n- Una gran amenaza invasora del Oeste \n- Nueva cultura y religión náhuatl \n\nAdemás: \n- Nuevos retratos y unidades únicas para la gran amenaza mesoamericana \nNuevos escudos en el mapa \n- Una terrorífica enfermedad traída por los invasores;;;;;;;;;x
LANDING_EXPANSION_FLAVOR_TEXT_DLC018;Description: \nIt is the late 13th century and Europe is still reeling from the all-conquering Mongol Hordes. Just as the Lords of the West breathe a sigh of relief, another threat looms on the horizon. Strange ships bearing winged serpents and grinning skulls, symbols never before seen in the known world, have been sighted all along the Atlantic coast. \n\nAs the sun sets on the shores of Morocco, Portugal and Ireland, the largest fleet that has ever set sail approaches land, ready to invade in the name of bloodthirsty gods.\n\nThis fantasy scenario marks Paradox Development Studios first departure from history. Hearing of Europe from traveling Northmen, the blood drenched Nahuatl Civilization has risen early and now spread like a virulent plague. Prepare to defend all you hold dear against the Sunset Invasion!;C'est la fin du XIIIe siècle et l'Europe est encore sous le choc des hordes mongoles conquérantes. À peine les seigneurs de l'ouest poussent un soupir de soulagement, qu'une autre menace se profile. Des navires étranges portant des serpents ailés et des crânes grimaçants, symboles jamais vus dans le monde connu, ont été aperçus tout le long de la côte atlantique. \n\nAlors que le soleil se couche sur les côtes marocaine, portugaise et irlandaise, la plus grande flotte jamais observée s'approche de la terre, prête à envahir au nom des dieux assoiffés de sang. \n\nCe scénario imaginaire est notre premier écart par rapport à l'Histoire. D'après les voyageurs vikings, les sanguinaires Nahuatls ont débarqué et se répandent maintenant comme une peste virulente. Préparez-vous à défendre tout ce que vous chérissez contre l'invasion du Soleil Couchant !;Es ist das späte 13. Jahrhundert und Europa ist noch immer von der alles beherrschenden Mongolenhorde aus der Bahn geworfen. Als die Herren des Westens gerade aufatmen, droht eine weitere Gefahr am Horizont. Seltsame Schiffe mit gestreiften Schlangen und grinsenden Schädeln, Symbolen, die nie zuvor gesehen wurden, wurden überall entlang der atlantischen Küste gesichtet.\n\nAls die Sonne an den Ufern von Marokko, Portugal und Irland untergeht, nähert sich die größte Flotte, die je Segel gesetzt hat, bereit diese im Namen der blutrünstigen Götter zu erobern...\n\nDieses Fantasieszenario zeigt die erste Abweichung des Paradox Development Studios von der Geschichte. Durch reisende Nordmännern von Europa hörend, stieg die blutgetränkte nahuatlische Zivilisation früh auf und verbreitete sich nun wie eine bösartige Plage. Bereitet Euch darauf vor, alles, was Ihr besitzt, gegen die Invasion aus dem Land der untergehenden Sonne zu verteidigen!;;Estamos finales del siglo XIII y Europa sigue temblando por las conquistadoras hordas mongolas. Justo cuando los señores de Occidente suspiran de alivio, otra amenaza se cierne sobre el horizonte. Extraños barcos con serpientes emplumadas y cráneos sonrientes, símbolos nunca antes vistos en el mundo conocido, han sido vistos a lo largo de la costa atlántica. \n\nSegún se pone el sol se pone en las costas de Marruecos, Portugal e Irlanda, la flota más grande que jamás zarpó se acerca a tierra, lista para invadir en nombre de dioses sanguinarios. \n\nEste escenario fantástico marca la primera desviación de la historia de Paradox Development Studio. Tras oír hablar de Europa a los viajeros del Norte, la sangrienta civilización náhuatl, se ha levantado antes y ahora se propaga como una plaga virulenta. ¡Prepárate para defender todo lo que amas contra la Invasión del ocaso!;;;;;;;;;x
LANDING_DLC034_TEXT;Main Features: \n- Unique graphic units for characters of Non-Christian Holy Orders \n\nWarriors of Faith Unit Pack includes unique unit graphics for Holy Orders and Warriors of Faith for non-Christian religions such as Islam, Norse, Zoroastrians, and Nahuatls. \nA total of eleven new unit models enhances the visual experience of Crusader Kings II when raising holy orders of the non-Christian religions.;Principales caractéristiques : \n- Des graphiques d'unités pour les personnages des ordres sacrés non chrétiens \n\nLe « Pack d'unités des Guerriers de la foi » ajoute des modèles d'unités uniques aux ordres sacrés et aux guerriers de la foi des religions non chrétiennes, comme l'islam, les nordiques, les zoroastriens et les nahuatls. \nUn total de onze nouveaux modèles d'unités qui améliorent l'expérience visuelle de CKII lorsqu'est levé un ordre sacré non chrétien.;Hauptinhalt: \n- Einzigartige Einheitengrafiken für Charaktere nichtchristlicher Ritterorden\n\nDieses Paket enthält einzigartige Einheitengrafiken für Ritterorden und Glaubenskrieger von nichtchristlichen Religionen wie Islam, altnordisch, zoroastrisch oder nahuatlisch.\nEine Gesamtzahl von elf neuen Einheitenmodellen verbessert die visuelle Erfahrung beim Ausheben von Ausgeboten nichtchristlicher Ritterorden.;;Presenta: \n- Gráficos únicos de unidades para personajes de órdenes militares no cristianas \n\nEste pack incluye gráficos únicos de unidades de las órdenes sagradas y guerreros de religiones no cristianas como el islam, nórdica, zoroástrica y náhuatl. Once nuevos modelos de unidades mejorarán la experiencia visual de Crusader Kings II al reclutar órdenes sagradas de las religiones no cristianas.;;;;;;;;;x
Holy_Order_ReformedNahuatl;the Cult of Huitzilopochtli;le Culte de Huitzilopochtli;Kult des Huitzilopochtli;;el Culto de Huitzilopochtli;;;;;;;;;x
### common
